formula,name,structural_group,band_gap_dir,properties,dir_or_ind,elec_or_opt,bgp_method,fab_method,no_of_layers,pub_type,vdw,filename,year,doi,link
AgCrP2S6,Silver chromium phosphorus sulfide,monoclinic,1.32,semiconductor,dir,opt,pl,mech,m,jour,TRUE,Park2024a,2024,10.1002/adma.202401534,https://doi.org/10.1002/adma.202401534
As2S3,Arsenic sulfide,hexagonal,2.60,semiconductor,ind,opt,uvvis,mech,m,jour,TRUE,Siskins2019a,2019,10.1021/acsnano.9b06161,https://doi.org/10.1021/acsnano.9b06161
As2Te3,Arsenic telluride,monoclinic,0.40,semiconductor,dir,elec,sts,mech,m,jour,TRUE,Khalil2021,2021,10.1063/5.0058291,https://doi.org/10.1063/5.0058291
AsSbO3,Arsenic antimony oxide,monoclinic,4.40,semiconductor,ind,opt,uvvis,mech,m,jour,TRUE,Long2023,2023,10.1002/adfm.202306241,https://doi.org/10.1002/adfm.202306241
AsSbS3,Arsenic antimony sulfide,monoclinic,1.74,semiconductor,dir,opt,pl,mech,f,jour,TRUE,Wang2020e,2020,10.1021/acs.jpca.9b11940,https://doi.org/10.1021/acs.jpca.9b11940
Ba3Zr2S7,Barium zirconium sulfide,tetragonal,1.28,semiconductor,dir,opt,pl,flux,f,jour,TRUE,Niu2018a,2018,10.1021/acs.chemmater.8b01707,https://doi.org/10.1021/acs.chemmater.8b01707
Bi2O2Se,Bismuth oxyselenide,tetragonal,0.80,semiconductor,ind,elec,arpes,cvd,m,jour,TRUE,Wu2017a,2017,10.1038/nnano.2017.43,https://doi.org/10.1038/nnano.2017.43
Bi2O5Te,Bismuth oxytelluride,rhombohedral,2.52,semiconductor,ind,opt,uvvis,sol,f,jour,TRUE,Kumar2024b,2024,10.1039/D4CP00562G,https://doi.org/10.1039/D4CP00562G
Bi2S3,Bismuth sulfide,orthorhombic,1.43,semiconductor,dir,opt,pl,mech,m,jour,TRUE,Linhart2021,2021,10.1039/D1TC03625D,https://doi.org/10.1039/D1TC03625D
Bi2Se3,Bismuth selenide,rhombohedral,0.31,semiconductor,dir,opt,arpes,mech,f,jour,TRUE,Peng2012,2017,10.1038/NCHEM.1277,https://doi.org/10.1038/NCHEM.1277
Bi2TeO6,Bismuth oxytelluride,orthorhombic,2.90,semiconductor,dir,opt,uvvis,cvd,f,jour,FALSE,Zou2023,2023,10.1002/adfm.202213807,https://doi.org/10.1002/adfm.202213807
BiCuOTe,Bismuth copper oxytelluride,tetragonal,2.23,semiconductor,ind,opt,uvvis,sol,f,jour,TRUE,Kumar2024b,2024,10.1039/D4CP00562G,https://doi.org/10.1039/D4CP00562G
BiOBr,Bismuth oxybromide,orthorhombic,3.69,semiconductor,ind,opt,uvvis,mech,m,jour,TRUE,Gong2020,2020,10.1002/adma.201908242,https://doi.org/10.1002/adma.201908242
BiPbO2Cl,Bismuth lead oxychloride,tetragonal,2.05,semiconductor,dir,opt,pl,sol,f,jour,TRUE,Xu2018a,2018,10.1186/s11671-018-2706-z,https://doi.org/10.1186/s11671-018-2706-z
BN,Boron nitride,hexagonal,6.10,insulator,dir,opt,pl,mbe,m,jour,TRUE,Elias2019,2019,10.1038/s41467-019-10610-5,https://doi.org/10.1038/s41467-019-10610-5
BN,Boron nitride,hexagonal,6.12,insulator,dir,opt,pl,mbe,m,jour,TRUE,Wang2022f,2022,10.1002/adma.202201387,https://doi.org/10.1002/adma.202201387
BN,Boron nitride,hexagonal,6.80,insulator,dir,elec,sts,mbe,m,jour,TRUE,PenaRoman2021,2021,10.1088/2053-1583/ac0d9c,https://doi.org/10.1088/2053-1583/ac0d9c
C3N4,Carbon nitride,hexagonal,2.80,semiconductor,dir,opt,uvvis,sol,f,jour,TRUE,Sahoo2022,2022,10.1016/j.carbon.2022.02.021,https://doi.org/10.1016/j.carbon.2022.02.021
Cd10S7Se3,Cadmium sulfide selenide,hexagonal,2.15,semiconductor,dir,opt,pl,cvd,f,jour,TRUE,Xia2025,2025,10.1016/j.apsusc.2024.161830,https://doi.org/10.1016/j.apsusc.2024.161830
CdI2,Cadmium iodide,hexagonal,2.98,semiconductor,ind,opt,uvvis,cvd,m,conf,TRUE,Zhao2021a,2021,10.1088/1742-6596/1907/1/012052,https://doi.org/10.1088/1742-6596/1907/1/012052
CdI2,Cadmium iodide,hexagonal,2.99,semiconductor,ind,opt,pl,cvd,m,conf,TRUE,Zhao2021a,2021,10.1088/1742-6596/1907/1/012052,https://doi.org/10.1088/1742-6596/1907/1/012052
CdPS3,Cadmium phosphorus sulfide,monoclinic,3.50,semiconductor,dir,opt,uvvis,mech,m,jour,TRUE,Du2016,2015,10.1021/acsnano.5b05927,https://doi.org/10.1021/acsnano.5b05927
CdS,Cadmium sulfide,hexagonal,2.42,semiconductor,dir,opt,pl,cvd,f,jour,TRUE,Xia2025,2025,10.1016/j.apsusc.2024.161830,https://doi.org/10.1016/j.apsusc.2024.161830
CdSe,Cadmium selenide,hexagonal,1.74,semiconductor,dir,opt,pl,cvd,f,jour,TRUE,Xia2025,2025,10.1016/j.apsusc.2024.161830,https://doi.org/10.1016/j.apsusc.2024.161830
CoPS3,Cobalt phosphorus sulfide,hexagonal,1.16,semiconductor,dir,opt,uvvis,mech,m,jour,TRUE,Jin2022,2022,10.1021/acs.jpclett.2c02992,https://doi.org/10.1021/acs.jpclett.2c02992
Cr2Ge2Te6,Chromium germanium telluride,hexagonal,0.86,semiconductor,dir,elec,sts,mech,f,jour,TRUE,Hao2018,2018,10.1016/j.scib.2018.05.034,https://doi.org/10.1016/j.scib.2018.05.034
Cr2S3,Chromium sulfide,rhombohedral,0.62,semiconductor,dir,opt,ftir,cvd,f,jour,TRUE,Xie2021b,2021,10.1002/aelm.202000962,https://doi.org/10.1002/aelm.202000962
